Utc,Bsp,Awa,Aws,Twa,Tws,Twd
42204.353744,0,105,2.3,96.3,2.15,116.3
42204.353756,,106,2.3,97.5,2.16,117.5
42204.353767,0,115,2.2,108.2,2.06,128.2
42204.353779,0,112,2.2,104.6,2.02,126.6
42204.353791,0,107,2.3,98.7,2.15,120.7
42204.353802,0,101,2.1,91.5,1.99,114.6
42204.353814,,99,2.1,89.2,2,112.2
42204.353826,0,96,2.3,85.7,2.21,109.7
42204.353838,0,96,3,85.7,2.88,109.7
42204.353849,0,93,2.8,82.2,2.7,106.3
42204.353861,0,90,2.7,78.7,2.62,102.7
42204.353872,,89,2.7,77.6,2.63,102.6
42204.353884,0,90,2.6,78.6,2.53,103.7
42204.353896,0,97,2.7,86.9,2.62,113
42204.353908,0,107,2.4,98.8,2.24,124.8
42204.353919,0,110,2.3,102.3,2.13,128.4
42204.353931,,100,2.1,90.4,2,116.4
42204.353942,0,97,2.1,86.8,2.01,112.9
42204.353954,0,95,1.9,84.4,1.82,110.5
42204.353966,0,91,1.8,79.6,1.74,104.7
42204.353978,0,88,1.8,76.2,1.75,102.3
42204.353989,,87,1.9,75.2,1.85,101.2
42204.354001,0,86,1.8,74,1.76,101.1
42204.354013,0,87,1.9,75.1,1.86,103.2
42204.354025,0,87,2,75.2,1.95,104.3
42204.354036,0,88,2.1,76.3,2.04,106.4
42204.354048,,88,2.1,76.3,2.04,106.4
42204.35406,0,89,2.2,77.4,2.14,107.5
42204.354071,0,89,2.3,77.4,2.24,108.5
42204.354083,0,92,2.3,80.9,2.22,112
42204.354095,0,96,2.3,85.7,2.2,116.7
42204.354107,,107,2.3,98.7,2.15,129.8
42204.354118,0,116,2.2,109.4,2.01,140.5
42204.35413,0,121,2.2,115.4,2,146.5
42204.354142,0,117,2.1,110.6,1.91,140.7
42204.354153,0,115,2.6,108.2,2.38,137.3
42204.354165,,117,2.8,110.6,2.55,138.7
42204.354177,0,124,2.9,119,2.59,147.1
42204.354188,0,132,2.8,128.5,2.5,154.5
42204.3542,0,125,2.7,120.1,2.4,147.2
42204.354212,0,125,2.7,120.1,2.4,146.2
42204.354224,,126,2.8,121.4,2.48,147.4
42204.354236,0,132,2.7,128.5,2.36,153.5
42204.354247,0,127,2.4,122.6,2.1,147.6
42204.354259,0,122,2.4,116.6,2.15,141.6
42204.354271,0,122,2.4,116.6,2.17,141.6
42204.354283,,122,2.4,116.6,2.15,140.6
42204.354295,0,120,2.5,114.2,2.25,139.3
42204.354306,0.45,120,3.3,107.5,3.18,147.7
42204.354318,0.45,120,3.3,107.6,3.17,147.7
42204.35433,0.5,124,3.2,97.6,3.1,153.6
42204.354341,0.61,124,3.2,109.3,3.2,159
42204.354353,,125,3.1,110.5,3.03,160.5
42204.354365,0.72,123,3,115.9,3.06,160.6
42204.354376,0.72,123,3,117.2,2.98,161.8
42204.354388,0.72,121,3.2,114,3.15,158.8
42204.3544,0.72,121,3.2,113.9,3.16,157.9
42204.354411,,120,3.4,111.8,3.34,156.1
42204.354423,0.72,122,3.8,112.8,3.71,154
42204.354435,0.72,122,3.9,112.8,3.71,152
42204.354446,0.61,122,3.9,104.7,3.76,149.8
42204.354458,0.61,121,4,104.8,3.77,147.8
42204.35447,,121,4,103.4,3.86,146.4
42204.354482,0.61,118,4.4,100.5,4.1,138.2
